Primary_Key	School Number	School Year	School Name	Official School Name	LEA Number	LEA Name	Name Prefix Description	Principal First Name	Principal Middle Name	Principal Last Name	Principal Name Suffix	Address Line1	Address Line2	City	State	Zip Code 5	Zip Code 4	Phone Office Area	Phone Office Exch	Phone Office Line	Phone Fax Area	Phone Fax Exch	Phone Fax Line 	Mailing Address Line1	Mailing Address Line2	Mailing City	Mailing State	Mailing Zip Code 5	Mailing Zip Code 4	URL School Address	Sch Operational Status	Sch Operational Status Desc	Opening Effective Date	Closing Date	School Type	School Type Desc	School Program Type	School Program Type Desc	Grade Level Current	Grade Level Approved	Grade Level First Year	Title I	School Calendar Type	School Calendar Description	Extended Hours	School Schedule Type	School Schedule Type Desc	School Designation Type	School Designation Desc	Virtual Status	SBE Region	SBE Region Names	Accreditation Status	Accreditation Status Desc	Federal School Number	College Board Number	School Membership	School Year For Sch Membership	School Teacher Count	School Year For Teachers	Cooperative Innovative HS	Cooperative MMYYYY SBE Approve	First Yr Est ADM	First Yr Est Paid Teacher FTE	Newly Constructed Facility	Occupancy Date	What Facility Will Sch Occupy	Share Space	Share Space Describe	New Sch Population From	List Of Closing Schools	County Code	County Description	Opening In School Year	Locale Type	Locale Type Desc	School Closings?	School Systartstatus	Record Created Timestamp	Record Created By	Last Changed Timestamp	Last Changed By
6403962019	640396	2019	Williford Elementary	Williford Elementary	640	Nash-Rocky Mount Schools	Mr	Kendrick	-	Alston	-	801 Williford Street	-	Rocky Mount	NC	27803	3825	252	937	9030	252	985	4331	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/22	1	Open	30-JUN-90	-	R	Regular School	N	None	P2:P3:PK:KG:01:02	P2:P3:PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001358	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:58AM	robin_griffin
6404002019	640400	2019	Winstead Avenue Elementary	Winstead Avenue Elementary	640	Nash-Rocky Mount Schools	Mrs	Yolanda	-	Wiggins	-	991 South Winstead Avenue	-	Rocky Mount	NC	27804	-	252	462	2845	252	451	5540	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/23	1	Open	30-JUN-98	-	R	Regular School	N	None	KG:01:02	P0:P1:P2:P3:PK:KG:01:02	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327002401	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	12-03-2018 03:28PM	robin_griffin
64A0002019	64A000	2019	Rocky Mount Preparatory	Rocky Mount Preparatory School, Inc.	64A	Rocky Mount Preparatory	Mr	Todd	-	Pipkin	-	3334 Bishop Road	-	Rocky Mount	NC	27804	-	252	443	9923	252	443	9932	-	-	-	-	-	-	http://rmprep.org/	1	Open	30-JUN-97	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	-	-	T	Traditional	-	S	Semester	C	Charter	NOTVIRTUAL	3	North Central	-	-	370003402334	340247	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	02-16-2015 08:17AM	rmprep
6503042019	650304	2019	Bradley Creek Elementary	Bradley Creek Elementary	650	New Hanover County Schools	Dr	Lauren	-	Kefalonitis	-	6211 Greenville Loop	-	Wilmington	NC	28409	2399	910	350	2051	910	350	2053	-	-	-	-	-	-	http://www.nhcs.k12.nc.us/bcreek/	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333001367	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
6503082019	650308	2019	Carolina Beach Elementary	Carolina Beach Elementary	650	New Hanover County Schools	Ms	Deanna	-	Leake	-	400 South 4th St	-	Carolina Beach	NC	28428	-	910	458	4340	-	-	-	-	-	-	-	-	-	http://www.nhcs.k12.nc.us/cbes/	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333001368	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	07-19-2018 02:57PM	crystal_buie
6503092019	650309	2019	Castle Hayne Elementary	Castle Hayne Elementary	650	New Hanover County Schools	Mr	Samuel	-	Highsmith	-	3925 Roger Haynes Drive	-	Castle Hayne	NC	28429	-	910	602	4970	910	602	4979	-	-	-	-	-	-	-	1	Open	01-JUL-09	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333003136	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	11-12-2014 04:41PM	crystal_buie
6503102019	650310	2019	Charles P Murray Middle	Charles P Murray Middle	650	New Hanover County Schools	Mr	Philip	-	Sutton	-	655 Halyburton Memorial Parkwy	-	Wilmington	NC	28412	-	910	790	2363	910	790	2351	-	-	-	-	-	-	http://www.nhcs.k12.nc.us/murray/	1	Open	30-JUN-01	-	R	Regular School	N	None	06:07:08	06:07:08	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333002594	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	07-01-2015 12:07PM	crystal_buie
6503122019	650312	2019	R Freeman Sch of Engineering	Rachel Freeman Sch of Engineering	650	New Hanover County Schools	Mrs	Dionne	-	Sturdivant	-	2601 Princess Place Drive	-	Wilmington	NC	28405	-	910	251	6011	910	251	6013	-	-	-	-	-	-	http://www.nhcs.k12.nc.us/freeman/	1	Open	30-JUN-90	-	R	Regular School	M	Magnet	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333001366	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	07-05-2016 02:46PM	crystal_buie
6503162019	650316	2019	College Park Elementary	College Park Elementary	650	New Hanover County Schools	Mrs	Maria	-	Madison	-	5301 Sidbury Road	-	Castle Hayne	NC	28429	-	910	350	2058	910	350	2162	-	-	-	-	-	-	http://www.nhcs.k12.nc.us/cpark/	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333001369	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	07-03-2017 12:34PM	crystal_buie
6503232019	650323	2019	Edwin A Anderson Elementary	Edwin A Anderson Elementary	650	New Hanover County Schools	Mrs	Krista	-	Holland	-	455 Halyburton Memorial Parkwa	-	Wilmington	NC	28412	-	910	798	3311	910	798	3358	-	-	-	-	-	-	http://www.nhcs.net/anderson/	1	Open	02-JUL-07	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	2	Southeast	-	-	370333002822	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	065	New Hanover	-	13	City, Small	-	1	04-23-2010 02:49PM	EDDIE	07-05-2016 02:26PM	crystal_buie
