School Name	Address Line1	Address Line2	City	Zip Code 5
Cleveland ECHS	1800 E. Marion Street	-	Shelby	28152
Crest High	800 Old Boiling Springs	-	Shelby	28152
Turning Point Academy	409 West Sumter Street	-	Shelby	28150
Kings Mountain High	500 Phifer Road	-	Kings Mountain	28086
North Shelby	1701 Charles Road	-	Shelby	28152
Shelby High	230 E Dixon Boulevard	-	Shelby	28152
East Columbus High	32 Gator Lane	-	Lake Waccamaw	28450
South Columbus High	40 Stallion Drive	-	Tabor City	28463
CCCA - Fair Bluff /Southeastern Campuses	4564 Chadbourn Hwy	-	Whiteville	28472
West Columbus High	7294 Andrew Jackson Hwy	-	Cerro Gordo	28430
North Whiteville Academy	310 S Martin Luther King Jr Ave	-	Whiteville	28472
Whiteville High	413 N Lee Street	-	Whiteville	28472
Thomas Academy	206 Rube McCray Circle	B	Lake Waccamaw	28450
Craven Early College High	800 College Court	-	New Bern	28562
Early College EAST High	104 Middle School Lane	-	Havelock	28532
Havelock High	101 Webb Boulevard	-	Havelock	28532
New Bern High	4200 Academic Drive	-	New Bern	28562
West Craven High	2600 Streets Ferry Road	-	Vanceboro	28586
Jack Britt High	7403 Rockfish Road	-	Fayetteville	28306
Douglas Byrd High	1624 Ireland Drive	-	Fayetteville	28304
Cape Fear High	4762 Clinton Road	-	Fayetteville	28312
Cumberland International Early College	1200 Murchison Rd	J Knuckles Science Annex	Fayetteville	28301
Cross Creek Early College	1200 Murchison Road	-	Fayetteville	28301
Grays Creek High	5301 Celebration Drive	-	Hope Mills	28348
E E Smith High	1800 Seabrook Road	-	Fayetteville	28301
Alger B. Wilkins High School 	1429 Skibo Road	-	Fayetteville	28303
Massey Hill Classical High	1062 Southern Avenue	-	Fayetteville	28306
Pine Forest High	525 Andrews Road	-	Fayetteville	28311
Reid Ross Classical High	3200 Ramsey Street	-	Fayetteville	28301
Seventy-First High	6764 Raeford Road	-	Fayetteville	28304
South View High	4184 Elk Road	-	Hope Mills	28348
Terry Sanford High	2301 Fort Bragg Road	-	Fayetteville	28303
Ramsey Street High	117 Quincy St	-	Fayetteville	28301
Westover High	277 Bonanza Drive	-	Fayetteville	28303
Cumberland Polytechnic	2201 Hull Rd	-	Fayetteville	28303
Currituck County High	4203 Caratoke Hwy	-	Barco	27917
The JP Knapp ECH (i)School	2966 Caratoke Hwy	-	Currituck	27929
Cape Hatteras Secondary School	48576  Highway 12	-	Buxton	27920
Dare Learning Academy	132 Russell Twiford Road	-	Manteo	27954
Manteo High School	829 Wingina Avenue	-	Manteo	27954
First Flight High School	100 Veterans Drive	-	Kill Devil Hills	27948
Central Davidson High	2747 NC Hwy 47	-	Lexington	27292
Stoner-Thomas School	215 County School Road	-	Lexington	27292
Davidson County High School	2061 E Holly Grove Road	-	Lexington	27292
Davidson Early College	297 DCCC Road	-	Lexington	27295
East Davidson High	1408 Lake Road	-	Thomasville	27360
Ledford Senior High	140 Jesse Green Road	-	Thomasville	27360
North Davidson High	7227 Old US Hwy 52	-	Lexington	27295
Oak Grove High	3507 Midway School Rd	-	Winston-Salem	27107
South Davidson High	14956 South NC Hwy 109	-	Denton	27239
West Davidson High	200 Dragon Drive	-	Lexington	27295
Yadkin Valley Regional Career Academy	2065 E. Holly Grove Road	-	Lexington	27292
Lexington Senior High School	26 Penry Street	-	Lexington	27292
South Lexington Developmental Center	1006 Cotton Grove Road	-	Lexington	27292
Thomasville High	410 Unity Street	-	Thomasville	27360
Eastern NC School for the Deaf	1131 Hwy 301 South	-	Wilson	27893
Gov. Morehead School f/t Blind	303 Ashe Avenue	-	Raleigh	27606
NC School for the Deaf	517 W Fleming Dr	-	Morganton	28655
Central Davie Academy	160 Martin Luther King Jr. Road	-	Mocksville	27028
Davie County High	180 War Eagle Drive	-	Mocksville	27028
Davie County Early College High	1211 Salisbury Road	-	Mocksville	27028
Duplin Early College High	212 James Sprunt Dr	-	Kenansville	28349
East Duplin High	394 North NC Highway 111	-	Beulaville	28518
James Kenan High	1241 NC 24 & 50	-	Warsaw	28398
North Duplin Jr Sr High	1388 West NC 403 Highway	-	Mt. Olive	28365
Wallace-Rose Hill High	602 High School Road	-	Teachey	28464
J D Clement Early College HS	1801 Fayetteville Street	NCCU-Robinson Science Building	Durham	27707
C E Jordan High	6806 Garrett Road	-	Durham	27707
The School for Creative Studies	5001 Red Mill Rd	-	Durham	27704
