School Name	Address Line1	Address Line2	City	Zip Code 5
KIPP Gaston College Preparatory	320 Pleasant Hill Road	-	Gaston	27832
Dixon High	160 Dixon School Rd	-	Holly Ridge	28445
Jacksonville High	1021 Henderson Dr	-	Jacksonville	28540
Northside High	365 Commons Drive South	-	Jacksonville	28546
Richlands High	8100 Richlands Hwy	-	Richlands	28574
Southwest High	1420 Burgaw Hwy	-	Jacksonville	28540
Swansboro High	161 Queens Creek Rd	-	Swansboro	28584
White Oak High	1001 Piney Green Rd	-	Jacksonville	28546
Lejeune High	835 Stone St	-	Camp Lejeune	28547
Cedar Ridge High	1125 New Grady Brown Sch Rd	-	Hillsborough	27278
Orange High	500 Orange High Rd	-	Hillsborough	27278
Partnership Academy	1006 East Storey Lane	-	Hillsborough	27278
Carrboro High	201 Rock Haven Rd	-	Carrboro	27510
Chapel Hill High	1709 High School Rd	-	Chapel Hill	27516
East Chapel Hill High	500 Weaver Dairy Rd	-	Chapel Hill	27514
UNC Hospital School	101 Manning Dr	-	Chapel Hill	27514
Phoenix Academy High	750 S Merritt Mill Rd	-	Chapel Hill	27516
Eno River Academy	1212 NC Highway 57 North	-	Hillsborough	27278
Pamlico County High	601 Main Street	-	Bayboro	28515
Arapahoe Charter School	9005 NC Hwy 306 S	-	Arapahoe	28510
H L Trigg Community	1004 Parkview Drive	-	Elizabeth City	27909
Northeastern High	963 Oak Stump Rd	-	Elizabeth City	27909
Pasquotank County High	1064 Northside Road	-	Elizabeth City	27909
Northeast Academy of Aerospace & AdvTech	1810 Weeksville Rd	ECSU ITC Bldg	Elizabeth City	27909
Heide Trask High	14328 NC Hwy 210	-	Rocky Point	28457
Pender High	5380 NC Hwy 53 W	-	Burgaw	28425
Pender Early College High	100 East Industrial Drive	-	Burgaw	28425
Topsail High	245 St. Johns Church Road	-	Hampstead	28443
Perquimans County High	305 Edenton Road St	-	Hertford	27944
Person High	1010 Ridge Rd	-	Roxboro	27573
Roxboro Community School	115 Lake Drive	-	Roxboro	27573
Ayden-Grifton High	7653 NC 11 South	-	Ayden	28513
D H Conley High	2006 Worthington Rd	-	Greenville	27858
Farmville Central High	3308 E Wilson Street	-	Farmville	27828
Junius H Rose High	600 W Arlington Blvd	-	Greenville	27834
North Pitt High	5659 NC 11 North	-	Bethel	27812
Vidant  Health	400 Spruce Street	-	Greenville	27834
South Central	570 W Forlines Road	-	Winterville	28590
Early College High School	1959 Warren Drive	Pitt Community College	Winterville	28590
Polk County Early College	1545 East NC 108 Hwy	-	Columbus	28722
Polk County High School	1681 East NC 108 Hwy	-	Columbus	28722
Eastern Randolph High	390 Eastern Randolph Rd	-	Ramseur	27316
Providence Grove High	5555 Mack Lineberry Rd	-	Climax	27233
Randleman High	4396 Tigers Den Rd	-	Randleman	27317
Randolph Early College High	629 Industrial Park Avenue	-	Asheboro	27205
Southwestern Randolph High	1641 Hopewell Friends Rd	-	Asheboro	27205
Trinity High	5746 Trinity High School Rd	-	Trinity	27370
Wheatmore High	3678 Finch Farm Rd	-	Trinity	27370
Asheboro High	1221 S Park St	-	Asheboro	27203
Uwharrie Charter Academy	5326 US Hwy 220 Business South	-	Asheboro	27205
Ashley Chapel Educational Center	377 Mizpah Road	-	Rockingham	28379
Richmond Senior High	838 US 1 North	-	Rockingham	28379
Richmond Early College High	1042 W Hamlet Ave	-	Hamlet	28345
Fairmont High	5419 Old Stage Road	-	Fairmont	28340
Lumberton Senior High	3901 Fayetteville Rd	-	Lumberton	28358
PSRC Early College at RCC	5160 Fayetteville Road	-	Lumberton	28360
Red Springs High	509 N Vance Street	-	Red Springs	28377
Saint Pauls High	648 North Stage Rd	-	Saint Pauls	28384
South Robeson High	3268 South Robeson Rd	-	Rowland	28383
Purnell Swett High	11344 Deep Branch Road	-	Pembroke	28372
Dalton McMichael High	6845 Hwy 135	-	Mayodan	27027
John M Morehead High	134 N Pierce St	-	Eden	27288
Reidsville High	1901 S Park Dr	-	Reidsville	27320
Rockingham County High	180 High School Rd	-	Reidsville	27320
Rockingham Co Early College High	315 Wrenn Memorial Road	-	Wentworth	27375
The SCORE Center	401 Moss Street	-	Reidsville	27320
Henderson High	1215 North Main St	-	Salisbury	28144
East Rowan High	175 St Luke's Church Rd	-	Salisbury	28146
Carson High	290 Kress Venture Dr	-	China Grove	28023
North Rowan High	300 North Whitehead Ave	-	Spencer	28159
Rowan Co Early College	1333 Jake Alexander Blvd S	-	Salisbury	28146
Salisbury High	500 Lincolnton Rd	-	Salisbury	28144
South Rowan High	1655 Patterson St	-	China Grove	28023
West Rowan High	8050 NC 801 Hwy	-	Mount Ulla	28125
Chase High School	1603 Chase High Rd	-	Forest City	28043
East Rutherford High School	331 East High Rd	-	Bostic	28018
R-S Central High School	641 Hwy 221 North	-	Rutherfordton	28139
Rutherford Early College High School	286 ICC Loop Road	-	Spindale	28160
Rutherford Opportunity Center	140 Old Caroleen Road	-	Forest City	28043
Thomas Jefferson Class Academy	2527 US 221A Hwy	-	Mooresboro	28114
Lake Lure Classical Academy	1058 Island Creek Rd. 	-	Lake Lure	28746
Sampson Early College High	1801 Sunset Ave	-	Clinton	28329
Hobbton High	12201 Hobbton Hwy	-	Newton Grove	28366
Lakewood High	245 Lakewood School Rd	-	Salemburg	28385
Midway High	15274 Spiveys Corner Highway	-	Newton Grove	28366
Union High	1189 Kader Merritt Road	-	Rose Hill	28458
Clinton High	340 Indian Town Road	-	Clinton	28328
Shaw Academy	18700 Old Wire Road	-	Laurinburg	28352
Scotland High School	1000 West Church St	-	Laurinburg	28352
Scotland Early College High	1700 Dogwood Mile	-	Laurinburg	28352
Albemarle High	311 Park Ridge Road	-	Albemarle	28001
North Stanly High	40206 US Hwy 52 N	-	New London	28127
South Stanly High	40488 S Stanly School Rd	-	Norwood	28128
Stanly Early College High	141 College Drive	-	Albemarle	28001
West Stanly High	306 East Red Cross Road	-	Oakboro	28129
Stanly Academy Learning Center	1121 Austin Street	-	Albemarle	28001
Gray Stone Day	49464 Merner Terrace	-	Misenheimer	28109
Meadowbrook Academy	817 Meadowbrook Drive	-	King	27021
North Stokes High	1350 N Stokes Sch Rd	-	Danbury	27016
South Stokes High	1100 S Stokes High Drive	-	Walnut Cove	27052
West Stokes High	1400 Priddy Road	-	King	27021
Stokes Early College	1165 Dodgetown Rd	-	Walnut Cove	27052
East Surry High	801 W Main Street	-	Pilot Mountain	27041
North Surry High	2440 W Pine Street	-	Mount Airy	27030
Surry Central High	716 South Main Street	-	Dobson	27017
Surry Early College	630 South Main Street	-	Dobson	27017
Elkin High	334 Elk Spur St	-	Elkin	28621
Mount Airy High	1011 N South St	-	Mount Airy	27030
Millennium Charter Academy	500 Old Springs Rd	-	Mount Airy	27030
Cherokee Extension School	50 Main Street	-	Bryson City	28713
Swain County High School	1415 Fontana Road	-	Bryson City	28713
Brevard High	609 N. Country Club Rd	-	Brevard	28712
Davidson River School	970 Ecusta Rd	-	Brevard	28712
Rosman High	749 Pickens Hwy	-	Rosman	28772
Columbia High	902 Main St	-	Columbia	27925
Cuthbertson High	1400 Cuthbertson Rd	-	Waxhaw	28173
Forest Hills High	100 Forest Hills School Rd	-	Marshville	28103
Monroe High	1 High School Dr	-	Monroe	28112
Porter Ridge High School	2839 Ridge Road	-	Indian Trail	28079
Parkwood High	3220 Parkwood School Rd	-	Monroe	28112
Piedmont High	3006 Sikes Mill Road	-	Monroe	28110
Sun Valley High	5211 Old Charlotte Hwy	-	Monroe	28110
South Providence	500 South Providence Street	-	Waxhaw	28173
Central Academy of Technology and Arts	600 Brewer Dr	-	Monroe	28112
Union County Early College	4209 Old Charlotte Hwy	A	Monroe	28110
Weddington High	4901 Monroe-Weddington Road	-	Matthews	28104
Wolfe School	722 Brewer Drive	-	Monroe	28112
Marvin Ridge High	2825 Crane Road	-	Waxhaw	28173
Union Academy	675 North ML King Jr Blvd	-	Monroe	28110
AdVance Academy	219 Charles Street	-	Henderson	27536
Vance County High School	925 Garrett Road	-	Henderson	27537
Vance Co Early College	200 Community College Rd	-	Henderson	27537
Henderson Collegiate	1071 Old Epsom Rd	-	Henderson	27536
Apex High	7600 Roberts Road	-	Cary	27519
Apex Friendship High	7801 Humie Olive Rd	-	Apex	27502
Athens Drive High	1420 Athens Drive	-	Raleigh	27606
Longview	318 N King Charles Rd	-	Raleigh	27610
Needham Broughton High	723 Saint Mary's St	-	Raleigh	27605
Cary High	638 Walnut St	-	Cary	27511
Crossroads FLEX 	5651 Dillard Dr	-	Cary	27518
East Wake High	5101 Rolesville Rd	-	Wendell	27591
Enloe High	128 Clarendon Crescent	-	Raleigh	27610
Fuquay-Varina High	201 Bengal Blvd	-	Fuquay-Varina	27526
Garner High	2101 Spring Drive	-	Garner	27529
Green Hope High	2500 Carpenter Upchurch Road	-	Cary	27519
Heritage High	1150 Forestville Road	-	Wake Forest	27587
Holly Springs High	5329 Cass Holt Road	-	Holly Springs	27540
Knightdale High	100 Bryan Chalk Lane	-	Knightdale	27545
Leesville Road High	8410 Pride Way	-	Raleigh	27613
Middle Creek High	123 Middle Creek Park Avenue	-	Apex	27539
Millbrook High	2201 Spring Forest Rd	-	Raleigh	27615
North Wake College and Career Academy	931 Durham Rd	-	Wake Forest	27587
Panther Creek High	6770 McCrimmon Parkway	-	Cary	27519
Phillips High	1923 Milburnie Rd	-	Raleigh	27610
Rolesville High	1099 East Young St	-	Rolesville 	27571
Sanderson High	5500 Dixon Drive	-	Raleigh	27609
SCORE Academy	5651 Dillard Dr	-	Cary 	27518
Southeast Raleigh High	2600 Rock Quarry Road	-	Raleigh	27610
Vernon Malone College and Career Academy	2200 S Wilmington St	-	Raleigh	27603
Wake STEM Early College High School	715 Barbour Dr	-	Raleigh	27603
Wake Early College of Health and Science	2901 Holston Lane	-	Raleigh	27610
Wake Young Men's Leadership Academy	567 East Hargett St	-	Raleigh	27601
Wake Young Women's Leadership Academy	301 Ashe Avenue	Governor Morehead	Raleigh	27606
Wake Forest High School	420 West Stadium Drive	-	Wake Forest	27587
Wakefield High	2200 Wakefield Pines Drive	-	Raleigh	27614
Franklin Academy	648 Flaherty Ave	-	Wake Forest	27587
East Wake Academy	821 Charter School Way	-	Zebulon	27597
Raleigh Charter High School	1307 Glenwood Avenue	-	Raleigh	27605
Southern Wake Academy	5108 Old Powell Rd	-	Holly Springs	27540
Triangle Math and Science Academy	312 Gregson Dr.	-	Cary	27511
Longleaf School of the Arts	322 Chapanoke Road	-	Raleigh	27603
Warren County High	149 Campus Drive	-	Warrenton	27589
Warren Early College High	210 Ridgeway St	-	Warrenton	27589
Warren New Tech High	219 US Hwy 158 Bypass	-	Warrenton	27589
Haliwa-Saponi Tribal School	130 Haliwa-Saponi Trail	-	Hollister	27844
Central Wake High School	1425 Rock Quarry Road 	-	Raleigh	27610
Washington County High	800 E Main St	-	Plymouth	27962
Washington Early College High	102 NC Hwy 32 North	-	Roper	27970
Northeast Regional School - Biotech/Agri	1215 Saint Andrews St	-	Jamesville	27846
Watauga High	300 Go Pioneers Drive	-	Boone	28607
Watauga Innovation Academy	300 Go Pioneers Drive	-	Boone	28607
Charles B Aycock High	5460 US 117 North	-	Pikeville	27863
Eastern Wayne High	1135 New Hope Road	-	Goldsboro	27534
Edgewood Cmty Developmental	1601 Peachtree St	-	Goldsboro	27530
Goldsboro High	901 E Beech Street	-	Goldsboro	27530
Rosewood High	900 Rosewood Road	-	Goldsboro	27530
Southern Wayne High	124 Walter Fulcher Rd	-	Dudley	28333
Spring Creek High	4340 Indian Springs Rd	-	Seven Springs	28578
Wayne Middle / High Academy	801 N Lionel St	-	Goldsboro	27530
Wayne Early / Middle College High	3000 Wayne Memorial Drive	-	Goldsboro	27534
Wayne School of Engineering	700 N Herman St	-	Goldsboro	27530
East Wilkes High School	13315 Elkin Hwy 268	-	Ronda	28670
North Wilkes High School	2986 Traphill Rd	-	Hays	28635
West Wilkes High School	6598 Boone Trail	-	Millers Creek	28651
Wilkes Central High School	1179 Moravian Falls Rd	-	Wilkesboro	28697
Wilkes Early College High School	1328 S Collegiate Dr	-	Wilkesboro	28697
Milton M Daniels Learning Center	723 Elvie Street	-	Wilson	27893
Beddingfield High	4510 Old Stantonsburg Rd	-	Wilson	27893
Fike High	500 Harrison Dr N	-	Wilson	27893
James Hunt High	4559 Lamm Rd	-	Wilson	27893
Wilson Early College Academy	902 Herring St	-	Wilson	27893
Wilson Preparatory Academy	2755 Tilghman Rd N	-	Wilson	27896
Boonville Elementary	232 East Main Street	-	Boonville	27011
Forbush High	1525 Falcon Road	-	East Bend	27018
Starmount High	2516 Longtown Rd	-	Boonville	27011
Yadkin Early College	1001 College Drive	-	Yadkinville	27055
Yadkin Success Academy	733 East Main Street	-	Yadkinville	27055
Mountain Heritage High	333 Mtn Heritage HS Road	-	Burnsville	28714
Edgecombe Youth Development Center	78 Positive Way	-	Rocky Mount	27801
Dobbs/Lenoir Youth Development Center	3055 Dobbs Farm Rd	-	Kinston	28504
Stonewall Jackson Youth Dev Ctr	850 Holshouser Rd	-	Concord	28027
Cumberland - NC State Learning Academy	1911 Coliseum Dr	-	Fayetteville	28306
Cabarrus - NC State Learning Academy	822 McWhorter Road	-	Concord	28027
New Hanover - NC State Learning Academy	3830 Juvenile Center Rd	-	Castle Hayne	28429
Pitt - NC State Learning Academy	451 Belvoir Road	-	Greenville	27834
Wake - NC State Learning Academy	700 Beacon Lake Dr	-	Raleigh	27610
Alexander - NC State Learning Academy	928 NC HWY 16 South	-	Taylorsville	28681
Chatham Youth Dev Center	560 Progress Blvd	-	Siler City	27344
Eckerd - Candor	500 E Ku Sumee Rd	-	Candor	27229
Eckerd - Boomer	4654 High Rock Rd	-	Boomer	28606
Westcare NC Girls Academy	633 Shepard’s Way Lane	-	Manson	27553
